
### Request header
###	request=datos
###	timeStart=2026-01-20
###	timeEnd=2026-05-05
###	seriesId=39718
###	siteCode=7396
###	varId=2
###	format=csv
### Response header
###	responseTimestamp=2026-05-04T10:23:56
###	sitecode=7396
###	seriesid=39718
###	seriesId=39718
###	seriesmetadata=procId:1,varId:2,var_abrev:altura,unit_abrev:m,seriesId:39718,unitId:11,proc_abrev:medicion
###	sitemetadata=geom:coordinates:-62.10138889,-38.89583333,type:Point,estacion_abrev:null,redId:23,siteCode:7396,red_name:Mareógrafos SHN
###	timeStart=20260120T000000
###	request=datos
###	timeEnd=20260505T000000
###	queryUrl=request=datos&timeStart=2026-01-20&timeEnd=2026-05-05&seriesId=39718&siteCode=7396&varId=2&format=csv
###	creationTime=2026-05-04T10:23:56-03:00

### obs_id,timestart,timeend,valor,timeupdate
27315619489,2026-03-17 22:45:00,2026-03-17 22:45:00,1.82,2026-03-18 11:00:16.478663
27315619490,2026-03-17 23:45:00,2026-03-17 23:45:00,1.28,2026-03-18 11:00:16.478663
27315619491,2026-03-18 00:45:00,2026-03-18 00:45:00,1.22,2026-03-18 11:00:16.478663
27315619492,2026-03-18 01:45:00,2026-03-18 01:45:00,1.92,2026-03-18 11:00:16.478663
27315619493,2026-03-18 02:45:00,2026-03-18 02:45:00,2.48,2026-03-18 11:00:16.478663
27315619494,2026-03-18 03:45:00,2026-03-18 03:45:00,3.25,2026-03-18 11:00:16.478663
27315619495,2026-03-18 04:45:00,2026-03-18 04:45:00,3.72,2026-03-18 11:00:16.478663
27315619496,2026-03-18 05:45:00,2026-03-18 05:45:00,3.89,2026-03-18 11:00:16.478663
27315619497,2026-03-18 06:45:00,2026-03-18 06:45:00,3.76,2026-03-18 11:00:16.478663
27315619498,2026-03-18 07:45:00,2026-03-18 07:45:00,3.43,2026-03-18 11:00:16.478663
27315619499,2026-03-18 08:45:00,2026-03-18 08:45:00,2.77,2026-03-18 11:00:16.478663
27315619500,2026-03-18 09:45:00,2026-03-18 09:45:00,1.86,2026-03-18 11:00:16.478663
27316001918,2026-03-18 10:45:00,2026-03-18 10:45:00,1.04,2026-03-18 12:00:22.062754
27316381863,2026-03-18 11:45:00,2026-03-18 11:45:00,0.61,2026-03-18 13:00:16.74268
